Shareholder - Name	Issuer - Name	Security - Type	Security - ISIN	Security - Report Date	Security - Market Value	Security - Market Value - Currency Code	Stock - Ticker	Stock - Number of Shares	Data Source URL
AP3	ABB LTD-REG	Equity	CH0012221716	2025-12-31	2,551,836	SEK	ABB SS	3,710,143.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	TRATON SE	Equity	DE000TRAT0N7	2025-12-31	157,982	SEK	8TRA SS	473,000.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	NORDEA BANK ABP	Equity	FI4000297767	2025-12-31	1,074,386	SEK	NDA SS	6,176,407.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ASTRAZENECA PLC	Equity	GB0009895292	2025-12-31	3,027,036	SEK	AZN SS	1,776,951.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	HENNES & MAURITZ AB-B SHS	Equity	SE0000106270	2025-12-31	1,892,448	SEK	HMB SS	10,179,927.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SKF AB-B SHARES	Equity	SE0000108227	2025-12-31	221,220	SEK	SKFB SS	900,000.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ERICSSON LM-A SHS	Equity	SE0000108649	2025-12-31	397,362	SEK	ERICA SS	4,390,736.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ERICSSON LM-B SHS	Equity	SE0000108656	2025-12-31	1,892,354	SEK	ERICB SS	20,886,904.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	RATOS AB-B SHS	Equity	SE0000111940	2025-12-31	97,053	SEK	RATOB SS	2,550,000.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SVENSKA CELLULOSA AB SCA-B	Equity	SE0000112724	2025-12-31	171,640	SEK	SCAB SS	1,400,000.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SKANSKA AB-B SHS	Equity	SE0000113250	2025-12-31	708,402	SEK	SKAB SS	2,807,775.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	TRELLEBORG AB-B SHS	Equity	SE0000114837	2025-12-31	343,613	SEK	TRELB SS	875,000.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	VOLVO AB-A SHS	Equity	SE0000115420	2025-12-31	106,739	SEK	VOLVA SS	360,118.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	VOLVO AB-B SHS	Equity	SE0000115446	2025-12-31	3,053,579	SEK	VOLVB SS	10,319,630.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	NCC AB-B SHS	Equity	SE0000117970	2025-12-31	91,823	SEK	NCCB SS	417,000.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SSAB AB - B SHARES	Equity	SE0000120669	2025-12-31	752,839	SEK	SSABB SS	10,807,336.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	RAYSEARCH LABORATORIES AB	Equity	SE0000135485	2025-12-31	94,223	SEK	RAYB SS	413,260.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SKANDINAVISKA ENSKILDA BAN-A	Equity	SE0000148884	2025-12-31	2,177,394	SEK	SEBA SS	11,160,398.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SECURITAS AB-B SHS	Equity	SE0000163594	2025-12-31	89,792	SEK	SECUB SS	610,000.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ELEKTA AB-B SHS	Equity	SE0000163628	2025-12-31	86,317	SEK	EKTAB SS	1,521,000.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	HUFVUDSTADEN AB-A SHS	Equity	SE0000170375	2025-12-31	124,000	SEK	HUFVA SS	1,000,000.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SSAB AB-A SHARES	Equity	SE0000171100	2025-12-31	3,524	SEK	SSABA SS	50,000.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	INDUSTRIVARDEN AB-A SHS	Equity	SE0000190126	2025-12-31	116,312	SEK	INDUA SS	280,000.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	BURE EQUITY AB	Equity	SE0000195810	2025-12-31	121,738	SEK	BURE SS	493,267.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	GETINGE AB-B SHS	Equity	SE0000202624	2025-12-31	592,872	SEK	GETIB SS	2,709,654.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SWEDBANK AB - A SHARES	Equity	SE0000242455	2025-12-31	2,257,833	SEK	SWEDA SS	7,031,558.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	CASTELLUM AB	Equity	SE0000379190	2025-12-31	495,140	SEK	CAST SS	4,653,570.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SANDVIK AB	Equity	SE0000667891	2025-12-31	1,822,444	SEK	SAND SS	6,062,688.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	TELIA CO AB	Equity	SE0000667925	2025-12-31	283,940	SEK	TELIA SS	7,210,269.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	CELLAVISION AB CEVI SS Equity SEK 307,964.00 48,412 SE0000683484ALFA LAVAL AB	Equity	SE0000695876	2025-12-31	1,495,624	SEK	ALFA SS	3,211,562.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	JM AB	Equity	SE0000806994	2025-12-31	25,074	SEK	JM SS	180,000.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	BILLERUD AB	Equity	SE0000862997	2025-12-31	37,560	SEK	BILL SS	400,000.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SWEDISH ORPHAN BIOVITRUM AB	Equity	SE0000872095	2025-12-31	779,613	SEK	SOBI SS	2,342,586.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	INDUTRADE AB	Equity	SE0001515552	2025-12-31	513,822	SEK	INDT SS	2,137,363.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	HUSQVARNA AB-B SHS	Equity	SE0001662230	2025-12-31	14,883	SEK	HUSQB SS	320,000.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	LINDAB INTERNATIONAL AB	Equity	SE0001852419	2025-12-31	265,502	SEK	LIAB SS	1,274,000.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ARISE AB	Equity	SE0002095604	2025-12-31	170,260	SEK	ARISE SS	3,869,536.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SDIPTECH AB - B	Equity	SE0003756758	2025-12-31	362,674	SEK	SDIPB SS	1,891,885.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SIVERS SEMICONDUCTORS AB	Equity	SE0003917798	2025-12-31	8,308	SEK	SIVE SS	2,000,000.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	XVIVO PERFUSION AB	Equity	SE0004840718	2025-12-31	51,083	SEK	XVIVO SS	273,757.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	PLATZER FASTIGHETER HOLD-B	Equity	SE0004977692	2025-12-31	11,175	SEK	PLAZB SS	150,000.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SAGAX AB-B	Equity	SE0005127818	2025-12-31	1,747,383	SEK	SAGAB SS	8,843,030.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	TELE2 AB-B SHS	Equity	SE0005190238	2025-12-31	131,933	SEK	TEL2B SS	853,661.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	HANZA AB	Equity	SE0005878543	2025-12-31	105,104	SEK	HANZA SS	826,292.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	AFRY AB	Equity	SE0005999836	2025-12-31	320,484	SEK	AFRY SS	2,136,562.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	INWIDO AB	Equity	SE0006220018	2025-12-31	24,630	SEK	INWI SS	150,000.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	GRANGES AB	Equity	SE0006288015	2025-12-31	3,060	SEK	GRNG SS	21,000.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	NP3 FASTIGHETER AB	Equity	SE0006342333	2025-12-31	126,007	SEK	NP3 SS	486,513.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	THULE GROUP AB/THE	Equity	SE0006422390	2025-12-31	23,980	SEK	THULE SS	100,000.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	AXFOOD AB	Equity	SE0006993770	2025-12-31	198,670	SEK	AXFO SS	684,598.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	HEXPOL AB	Equity	SE0007074281	2025-12-31	211,268	SEK	HPOLB SS	2,402,140.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	PANDOX AB	Equity	SE0007100359	2025-12-31	203,000	SEK	PNDXB SS	1,000,000.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ASSA ABLOY AB-B	Equity	SE0007100581	2025-12-31	1,382,070	SEK	ASSAB SS	3,850,849.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SVENSKA HANDELSBANKEN-A SHS	Equity	SE0007100599	2025-12-31	1,554,769	SEK	SHBA SS	11,572,529.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	BRAVIDA HOLDING AB	Equity	SE0007491303	2025-12-31	172,726	SEK	BRAV SS	1,924,523.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	VICORE PHARMA HOLDING AB	Equity	SE0007577895	2025-12-31	44,094	SEK	VICO SS	3,902,100.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SCANDIC HOTELS GROUP AB	Equity	SE0007640156	2025-12-31	24,325	SEK	SHOT SS	250,000.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	DOMETIC GROUP AB	Equity	SE0007691613	2025-12-31	27,237	SEK	DOM SS	581,238.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	CAMURUS AB	Equity	SE0007692850	2025-12-31	328,428	SEK	CAMX SS	533,163.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	VITEC SOFTWARE GROUP AB-B SH	Equity	SE0007871363	2025-12-31	267,790	SEK	VITB SS	864,955.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	INFANT BACTERIAL THERAPEUTIC	Equity	SE0008015259	2025-12-31	1,940	SEK	IBTB SS	38,408.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	MIPS AB	Equity	SE0009216278	2025-12-31	115,421	SEK	MIPS SS	326,601.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	MUNTERS GROUP AB	Equity	SE0009806607	2025-12-31	447,954	SEK	MTRS SS	2,605,899.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	BONESUPPORT HOLDING AB BONEX SS Equity SEK 1,546,544.00 290,750 SE0009858152ESSITY AKTIEBOLAG-B	Equity	SE0009922164	2025-12-31	871,583	SEK	ESSITYB SS	3,286,512.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	XSPRAY PHARMA AB	Equity	SE0009973563	2025-12-31	53,959	SEK	XSPRAY SS	1,715,712.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
