Shareholder - Name	Issuer - Name	Security - Report Date	Security - Market Value - Amount	Security - Market Value - Multiplier	Security - Market Value - Currency Code	Stock - Percent Ownership	Data Source URL
BPL Pension	Staat der Nederlanden	2023-12-31	1.680.293	x1_000	EUR	10,34%	https://www.bplpensioen.nl/beleggen
BPL Pension	Federal Republic of Germany	2023-12-31	1.499.830	x1_000	EUR	9,23%	https://www.bplpensioen.nl/beleggen
BPL Pension	French Republic Government	2023-12-31	393.664	x1_000	EUR	2,42%	https://www.bplpensioen.nl/beleggen
BPL Pension	Republic of Austria	2023-12-31	372.522	x1_000	EUR	2,29%	https://www.bplpensioen.nl/beleggen
BPL Pension	Finland	2023-12-31	150.564	x1_000	EUR	0,93%	https://www.bplpensioen.nl/beleggen
BPL Pension	2I RETE GAS SPA	2023-12-31	2.514	x1_000	EUR	0,02%	https://www.bplpensioen.nl/beleggen
BPL Pension	A2A SpA	2023-12-31	162	x1_000	EUR	0,00%	https://www.bplpensioen.nl/beleggen
BPL Pension	ABANCA CORP BANCARIA SA	2023-12-31	6.9251819400	x1_000	EUR	0,04%	https://www.bplpensioen.nl/beleggen
BPL Pension	ABB International Finance Ltd	2023-12-31	1.459	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
BPL Pension	Abertis Infraestructuras	2023-12-31	1.487	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
BPL Pension	ABN AMRO Bank NV	2023-12-31	6.055	x1_000	EUR	0,04%	https://www.bplpensioen.nl/beleggen
BPL Pension	ACCIONA ENERGIA FINANCIA	2023-12-31	5.163	x1_000	EUR	0,03%	https://www.bplpensioen.nl/beleggen
BPL Pension	Acea Spa	2023-12-31	1.910	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
BPL Pension	ACEF HOLDING SCA	2023-12-31	1.381	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
BPL Pension	Adp	2023-12-31	2.360	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
BPL Pension	Aegon NV	2023-12-31	2.43877	x1_000	EUR	0,02%	https://www.bplpensioen.nl/beleggen
BPL Pension	Ageas Hybrid Financing SA	2023-12-31	880888	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
BPL Pension	AKELIUS RESIDENTIAL AB	2023-12-31	3.364	x1_000	EUR	0,02%	https://www.bplpensioen.nl/beleggen
BPL Pension	ALD SA	2023-12-31	5.668	x1_000	EUR	0,03%	https://www.bplpensioen.nl/beleggen
BPL Pension	Allianz Finance II B.V.	2023-12-31	8.095	x1_000	EUR	0,05%	https://www.bplpensioen.nl/beleggen
