Shareholder - Name	Issuer - Name	Security - Type	Security - Report Date	Security - Market Value - Amount	Security - Market Value - Currency Code	Data Source URL
Pensioenfonds Detailhandel	Bundesrepublik Deutschland Bundesanleihe	Equity	2026	2.718.194.675	EUR	https://pensioenfondsdetailhandel.nl/content/Publicaties/Beleggingen-Pensioenfonds-Detailhandel.pdf
Pensioenfonds Detailhandel	European Union	Equity	2026	689.452.206	EUR	https://pensioenfondsdetailhandel.nl/content/Publicaties/Beleggingen-Pensioenfonds-Detailhandel.pdf
Pensioenfonds Detailhandel	Finland Government Bond	Equity	2026	237.464.921	EUR	https://pensioenfondsdetailhandel.nl/content/Publicaties/Beleggingen-Pensioenfonds-Detailhandel.pdf
Pensioenfonds Detailhandel	French Republic Government Bond	Equity	2026	3.267.680.939	EUR	https://pensioenfondsdetailhandel.nl/content/Publicaties/Beleggingen-Pensioenfonds-Detailhandel.pdf
Pensioenfonds Detailhandel	Ireland Government Bond	Equity	2026	104.198.153	EUR	https://pensioenfondsdetailhandel.nl/content/Publicaties/Beleggingen-Pensioenfonds-Detailhandel.pdf
Pensioenfonds Detailhandel	Luxembourg Government Bond	Equity	2026	24.637.367	EUR	https://pensioenfondsdetailhandel.nl/content/Publicaties/Beleggingen-Pensioenfonds-Detailhandel.pdf
Pensioenfonds Detailhandel	Netherlands Government Bond	Equity	2026	648.136.320	EUR	https://pensioenfondsdetailhandel.nl/content/Publicaties/Beleggingen-Pensioenfonds-Detailhandel.pdf
Pensioenfonds Detailhandel	Republic of Austria Government Bond	Equity	2026	511.992.703	EUR	https://pensioenfondsdetailhandel.nl/content/Publicaties/Beleggingen-Pensioenfonds-Detailhandel.pdf
Pensioenfonds Detailhandel	3M Co	Equity	2026	876.941	EUR	https://pensioenfondsdetailhandel.nl/content/Publicaties/Beleggingen-Pensioenfonds-Detailhandel.pdf
Pensioenfonds Detailhandel	Aareal Bank AG	Equity	2026	5.828.018	EUR	https://pensioenfondsdetailhandel.nl/content/Publicaties/Beleggingen-Pensioenfonds-Detailhandel.pdf
Pensioenfonds Detailhandel	Abanca Corp Bancaria SA	Equity	2026	2.514.427	EUR	https://pensioenfondsdetailhandel.nl/content/Publicaties/Beleggingen-Pensioenfonds-Detailhandel.pdf
Pensioenfonds Detailhandel	ABB Finance BV	Equity	2026	763.915	EUR	https://pensioenfondsdetailhandel.nl/content/Publicaties/Beleggingen-Pensioenfonds-Detailhandel.pdf
Pensioenfonds Detailhandel	Abbott Ireland Financing DAC	Equity	2026	433.035	EUR	https://pensioenfondsdetailhandel.nl/content/Publicaties/Beleggingen-Pensioenfonds-Detailhandel.pdf
Pensioenfonds Detailhandel	ABEILLE VIE SA d'Assurances Vie et de Ca	Equity	2026	230.504	EUR	https://pensioenfondsdetailhandel.nl/content/Publicaties/Beleggingen-Pensioenfonds-Detailhandel.pdf
Pensioenfonds Detailhandel	Abertis France SAS	Equity	2026	2.612.674	EUR	https://pensioenfondsdetailhandel.nl/content/Publicaties/Beleggingen-Pensioenfonds-Detailhandel.pdf
Pensioenfonds Detailhandel	Abertis Infraestructuras SA	Equity	2026	4.828.634	EUR	https://pensioenfondsdetailhandel.nl/content/Publicaties/Beleggingen-Pensioenfonds-Detailhandel.pdf
Pensioenfonds Detailhandel	ABN AMRO Bank NV	Equity	2026	14.328.901	EUR	https://pensioenfondsdetailhandel.nl/content/Publicaties/Beleggingen-Pensioenfonds-Detailhandel.pdf
Pensioenfonds Detailhandel	ACEA SpA	Equity	2026	2.691.281	EUR	https://pensioenfondsdetailhandel.nl/content/Publicaties/Beleggingen-Pensioenfonds-Detailhandel.pdf
Pensioenfonds Detailhandel	Acef Holding SCA	Equity	2026	1.445.974	EUR	https://pensioenfondsdetailhandel.nl/content/Publicaties/Beleggingen-Pensioenfonds-Detailhandel.pdf
Pensioenfonds Detailhandel	Achmea Bank NV	Equity	2026	3.571.479	EUR	https://pensioenfondsdetailhandel.nl/content/Publicaties/Beleggingen-Pensioenfonds-Detailhandel.pdf
Pensioenfonds Detailhandel	Achmea BV	Equity	2026	624.873	EUR	https://pensioenfondsdetailhandel.nl/content/Publicaties/Beleggingen-Pensioenfonds-Detailhandel.pdf
Pensioenfonds Detailhandel	Action Logement Services	Equity	2026	4.297.534	EUR	https://pensioenfondsdetailhandel.nl/content/Publicaties/Beleggingen-Pensioenfonds-Detailhandel.pdf
Pensioenfonds Detailhandel	Adecco International Financial Services	Equity	2026	222.839	EUR	https://pensioenfondsdetailhandel.nl/content/Publicaties/Beleggingen-Pensioenfonds-Detailhandel.pdf
Pensioenfonds Detailhandel	adidas AG	Equity	2026	824.375	EUR	https://pensioenfondsdetailhandel.nl/content/Publicaties/Beleggingen-Pensioenfonds-Detailhandel.pdf
Pensioenfonds Detailhandel	Adif Alta Velocidad	Equity	2026	3.690.262	EUR	https://pensioenfondsdetailhandel.nl/content/Publicaties/Beleggingen-Pensioenfonds-Detailhandel.pdf
Pensioenfonds Detailhandel	Aena SME SA	Equity	2026	390.645	EUR	https://pensioenfondsdetailhandel.nl/content/Publicaties/Beleggingen-Pensioenfonds-Detailhandel.pdf
