Shareholder - Name	Issuer - Name	Security - Report Date	Security - Market Value - Amount	Security - Market Value - Currency Code	Security - ISIN	Stock - Percent Ownership	Data Source URL
Pensionskassernes Administration a/s	3i group	2026	29.520.582,12	DKK	GB00B1YW4409	0,04 %	https://pka.dk/ansvarlighed/ansvarlige-investeringer/politikker-og-rapporter
Pensionskassernes Administration a/s	3m co	2026	77.980.950,42	DKK	US88579Y1010	0,10 %	https://pka.dk/ansvarlighed/ansvarlige-investeringer/politikker-og-rapporter
Pensionskassernes Administration a/s	3sbio	2026	2.014.217,49	DKK	KYG8875G1029	0,00 %	https://pka.dk/ansvarlighed/ansvarlige-investeringer/politikker-og-rapporter
Pensionskassernes Administration a/s	Aac technologies (cn)	2026	2.408.048,35	DKK	KYG2953R1149	0,00 %	https://pka.dk/ansvarlighed/ansvarlige-investeringer/politikker-og-rapporter
Pensionskassernes Administration a/s	Abb india	2026	2.816.815,38	DKK	INE117A01022	0,00 %	https://pka.dk/ansvarlighed/ansvarlige-investeringer/politikker-og-rapporter
Pensionskassernes Administration a/s	Abb ltd	2026	170.404.678,10	DKK	CH0012221716	0,21 %	https://pka.dk/ansvarlighed/ansvarlige-investeringer/politikker-og-rapporter
Pensionskassernes Administration a/s	Abbott laboratories	2026	145.427.699,93	DKK	US0028241000	0,18 %	https://pka.dk/ansvarlighed/ansvarlige-investeringer/politikker-og-rapporter
Pensionskassernes Administration a/s	Abbvie	2026	360.305.502,52	DKK	US00287Y1091	0,44 %	https://pka.dk/ansvarlighed/ansvarlige-investeringer/politikker-og-rapporter
Pensionskassernes Administration a/s	Abivax	2026	2.886.762,06	DKK	FR0012333284	0,00 %	https://pka.dk/ansvarlighed/ansvarlige-investeringer/politikker-og-rapporter
Pensionskassernes Administration a/s	Abn amro bank a	2026	22.974.579,49	DKK	NL0011540547	0,03 %	https://pka.dk/ansvarlighed/ansvarlige-investeringer/politikker-og-rapporter
Pensionskassernes Administration a/s	Absa group	2026	4.488.534,18	DKK	ZAE000255915	0,01 %	https://pka.dk/ansvarlighed/ansvarlige-investeringer/politikker-og-rapporter
Pensionskassernes Administration a/s	Abu dhabi comm bank	2026	8.937.648,36	DKK	AEA000201011	0,01 %	https://pka.dk/ansvarlighed/ansvarlige-investeringer/politikker-og-rapporter
Pensionskassernes Administration a/s	Abu dhabi islamic bk(ae)	2026	647.974,91	DKK	AEA000801018	0,00 %	https://pka.dk/ansvarlighed/ansvarlige-investeringer/politikker-og-rapporter
Pensionskassernes Administration a/s	Abu dhabi natl oil co	2026	6.238.702,20	DKK	AEA006101017	0,01 %	https://pka.dk/ansvarlighed/ansvarlige-investeringer/politikker-og-rapporter
Pensionskassernes Administration a/s	Accenture a	2026	116.256.552,59	DKK	IE00B4BNMY34	0,14 %	https://pka.dk/ansvarlighed/ansvarlige-investeringer/politikker-og-rapporter
Pensionskassernes Administration a/s	Acciona	2026	9.157.932,75	DKK	ES0125220311	0,01 %	https://pka.dk/ansvarlighed/ansvarlige-investeringer/politikker-og-rapporter
Pensionskassernes Administration a/s	Accor	2026	8.193.798,73	DKK	FR0000120404	0,01 %	https://pka.dk/ansvarlighed/ansvarlige-investeringer/politikker-og-rapporter
Pensionskassernes Administration a/s	Accton technology corp	2026	14.928.830,84	DKK	TW0002345006	0,02 %	https://pka.dk/ansvarlighed/ansvarlige-investeringer/politikker-og-rapporter
Pensionskassernes Administration a/s	Acs activ const y svcs	2026	17.401.763,16	DKK	ES0167050915	0,02 %	https://pka.dk/ansvarlighed/ansvarlige-investeringer/politikker-og-rapporter
Pensionskassernes Administration a/s	Adani enterprises	2026	1.939.278,17	DKK	INE423A01024	0,00 %	https://pka.dk/ansvarlighed/ansvarlige-investeringer/politikker-og-rapporter
Pensionskassernes Administration a/s	Adani ports and sez	2026	4.281.646,35	DKK	INE742F01042	0,01 %	https://pka.dk/ansvarlighed/ansvarlige-investeringer/politikker-og-rapporter
Pensionskassernes Administration a/s	Addtech b	2026	7.935.361,08	DKK	SE0014781795	0,01 %	https://pka.dk/ansvarlighed/ansvarlige-investeringer/politikker-og-rapporter
Pensionskassernes Administration a/s	Adidas	2026	30.032.619,33	DKK	DE000A1EWWW0	0,04 %	https://pka.dk/ansvarlighed/ansvarlige-investeringer/politikker-og-rapporter
Pensionskassernes Administration a/s	Admiral group	2026	8.219.966,01	DKK	GB00B02J6398	0,01 %	https://pka.dk/ansvarlighed/ansvarlige-investeringer/politikker-og-rapporter
Pensionskassernes Administration a/s	Adnoc gas	2026	3.037.608,43	DKK	AEE01195A234	0,00 %	https://pka.dk/ansvarlighed/ansvarlige-investeringer/politikker-og-rapporter
Pensionskassernes Administration a/s	Adobe	2026	111.123.771,16	DKK	US00724F1012	0,14 %	https://pka.dk/ansvarlighed/ansvarlige-investeringer/politikker-og-rapporter
Pensionskassernes Administration a/s	Adp	2026	2.853.520,15	DKK	FR0010340141	0,00 %	https://pka.dk/ansvarlighed/ansvarlige-investeringer/politikker-og-rapporter
Pensionskassernes Administration a/s	Advanced info service-nvdr	2026	5.254.270,96	DKK	TH0268010R11	0,01 %	https://pka.dk/ansvarlighed/ansvarlige-investeringer/politikker-og-rapporter
Pensionskassernes Administration a/s	Advanced micro devices	2026	804.594.513,40	DKK	US0079031078	0,98 %	https://pka.dk/ansvarlighed/ansvarlige-investeringer/politikker-og-rapporter
Pensionskassernes Administration a/s	Advantest corp	2026	117.363.552,21	DKK	JP3122400009	0,14 %	https://pka.dk/ansvarlighed/ansvarlige-investeringer/politikker-og-rapporter
Pensionskassernes Administration a/s	Adyen nv	2026	25.553.593,91	DKK	NL0012969182	0,03 %	https://pka.dk/ansvarlighed/ansvarlige-investeringer/politikker-og-rapporter
Pensionskassernes Administration a/s	Aegon	2026	16.860.205,95	DKK	BMG0112X1056	0,02 %	https://pka.dk/ansvarlighed/ansvarlige-investeringer/politikker-og-rapporter
Pensionskassernes Administration a/s	Aena	2026	25.685.743,19	DKK	ES0105046017	0,03 %	https://pka.dk/ansvarlighed/ansvarlige-investeringer/politikker-og-rapporter
Pensionskassernes Administration a/s	Aeon co	2026	20.056.169,46	DKK	JP3388200002	0,02 %	https://pka.dk/ansvarlighed/ansvarlige-investeringer/politikker-og-rapporter
Pensionskassernes Administration a/s	Aercap holdings nv	2026	23.130.731,57	DKK	NL0000687663	0,03 %	https://pka.dk/ansvarlighed/ansvarlige-investeringer/politikker-og-rapporter
Pensionskassernes Administration a/s	Affirm holdings a	2026	21.061.043,80	DKK	US00827B1061	0,03 %	https://pka.dk/ansvarlighed/ansvarlige-investeringer/politikker-og-rapporter
Pensionskassernes Administration a/s	Aflac	2026	58.130.826,99	DKK	US0010551028	0,07 %	https://pka.dk/ansvarlighed/ansvarlige-investeringer/politikker-og-rapporter
Pensionskassernes Administration a/s	Agc	2026	5.350.055,58	DKK	JP3112000009	0,01 %	https://pka.dk/ansvarlighed/ansvarlige-investeringer/politikker-og-rapporter
Pensionskassernes Administration a/s	Ageas	2026	8.374.204,01	DKK	BE0974264930	0,01 %	https://pka.dk/ansvarlighed/ansvarlige-investeringer/politikker-og-rapporter
Pensionskassernes Administration a/s	Agilent technologies	2026	41.732.571,03	DKK	US00846U1016	0,05 %	https://pka.dk/ansvarlighed/ansvarlige-investeringer/politikker-og-rapporter
Pensionskassernes Administration a/s	Agnico eagle mines	2026	95.227.016,15	DKK	CA0084741085	0,12 %	https://pka.dk/ansvarlighed/ansvarlige-investeringer/politikker-og-rapporter
Pensionskassernes Administration a/s	Agri bank of china h	2026	4.146.403,65	DKK	CNE100000Q43	0,01 %	https://pka.dk/ansvarlighed/ansvarlige-investeringer/politikker-og-rapporter
Pensionskassernes Administration a/s	Agri bank of cn a (hk-c)	2026	6.454.777,42	DKK	CNE100000RJ0	0,01 %	https://pka.dk/ansvarlighed/ansvarlige-investeringer/politikker-og-rapporter
Pensionskassernes Administration a/s	Ahold delhaize	2026	33.694.536,00	DKK	NL0011794037	0,04 %	https://pka.dk/ansvarlighed/ansvarlige-investeringer/politikker-og-rapporter
Pensionskassernes Administration a/s	Aia group	2026	108.696.886,35	DKK	HK0000069689	0,13 %	https://pka.dk/ansvarlighed/ansvarlige-investeringer/politikker-og-rapporter
Pensionskassernes Administration a/s	Aib group	2026	17.200.244,12	DKK	IE00BF0L3536	0,02 %	https://pka.dk/ansvarlighed/ansvarlige-investeringer/politikker-og-rapporter
Pensionskassernes Administration a/s	Air liquide	2026	78.976.934,38	DKK	FR0000120073	0,10 %	https://pka.dk/ansvarlighed/ansvarlige-investeringer/politikker-og-rapporter
Pensionskassernes Administration a/s	Air products & chemicals	2026	38.201.156,28	DKK	US0091581068	0,05 %	https://pka.dk/ansvarlighed/ansvarlige-investeringer/politikker-og-rapporter
Pensionskassernes Administration a/s	Airbnb a	2026	56.150.738,69	DKK	US0090661010	0,07 %	https://pka.dk/ansvarlighed/ansvarlige-investeringer/politikker-og-rapporter
Pensionskassernes Administration a/s	Airports of thailand pcl-for	2026	4.671.047,85	DKK	TH0765010Z16	0,01 %	https://pka.dk/ansvarlighed/ansvarlige-investeringer/politikker-og-rapporter
Pensionskassernes Administration a/s	Airports of thailand pc-nvdr	2026	1.589.051,82	DKK	TH0765010R16	0,00 %	https://pka.dk/ansvarlighed/ansvarlige-investeringer/politikker-og-rapporter
Pensionskassernes Administration a/s	Airtac international	2026	3.322.531,39	DKK	KYG014081064	0,00 %	https://pka.dk/ansvarlighed/ansvarlige-investeringer/politikker-og-rapporter
Pensionskassernes Administration a/s	Airtel africa	2026	1.764.463,66	DKK	GB00BKDRYJ47	0,00 %	https://pka.dk/ansvarlighed/ansvarlige-investeringer/politikker-og-rapporter
Pensionskassernes Administration a/s	Aisin corp	2026	3.475.446,09	DKK	JP3102000001	0,00 %	https://pka.dk/ansvarlighed/ansvarlige-investeringer/politikker-og-rapporter
Pensionskassernes Administration a/s	Ajinomoto co	2026	29.857.842,56	DKK	JP3119600009	0,04 %	https://pka.dk/ansvarlighed/ansvarlige-investeringer/politikker-og-rapporter
