Shareholder - Name	Issuer - Name	Issuer - Country Name	Issuer - Sector	Security - Type	Security - Report Date	Security - Market Value - Amount	Security - Market Value - Multiplier	Security - Market Value - Currency Code	Data Source URL
PME pensioenfonds	1011778 BC ULC / New Red Finance Inc	Canada	Consumer, cyclical	Corporate bonds	2026-04-30	32.087.956	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	1261229 BC Ltd	United States	Consumer, non-cyclical	Corporate bonds	2026-04-30	3.714.477	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	180 Medical Inc	United Kingdom	Consumer, non-cyclical	Corporate bonds	2026-04-30	2.571.215	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	360 Security Technology Inc	China	Communications	Shares	2026-04-30	337.952	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	37 Interactive Entertainment Network Technology Group Co Ltd	China	Technology	Shares	2026-04-30	203.888	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	3i Group PLC	United Kingdom	Financial	Corporate bonds	2026-04-30	10.511.355	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	3M Co	United States	Industrial	Shares	2026-04-30	15.511.451	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	3M Co	United States	Industrial	Corporate bonds	2026-04-30	7.988.925	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	3SBio Inc	China	Consumer, non-cyclical	Shares	2026-04-30	2.924.767	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	A2A SpA	Italy	Utilities	Corporate bonds	2026-04-30	9.905.846	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	AAC Technologies Holdings Inc	China	Industrial	Shares	2026-04-30	1.674.512	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	AAR Escrow Issuer LLC	United States	Industrial	Corporate bonds	2026-04-30	2.657.877	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	ABB Finance BV	Switzerland	Industrial	Corporate bonds	2026-04-30	1.615.278	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	ABB India Ltd	India	Industrial	Shares	2026-04-30	1.952.271	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	ABB Ltd	Switzerland	Industrial	Shares	2026-04-30	14.688.059	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	Abbott Laboratories	United States	Consumer, non-cyclical	Shares	2026-04-30	35.379.626	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	AbbVie Inc	United States	Consumer, non-cyclical	Shares	2026-04-30	76.062.040	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	AbbVie Inc	United States	Consumer, non-cyclical	Corporate bonds	2026-04-30	12.294.972	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	Abertis France SAS	France	Consumer, non-cyclical	Corporate bonds	2026-04-30	33.773.071	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	Abertis Infraestructuras Finance BV	Spain	Industrial	Corporate bonds	2026-04-30	31.810.840	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	Abertis Infraestructuras SA	Spain	Consumer, non-cyclical	Corporate bonds	2026-04-30	17.419.796	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	ABN AMRO Bank NV	Netherlands	Financial	Shares	2026-04-30	1.668.485	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	ABN AMRO Bank NV	Netherlands	Financial	Corporate bonds	2026-04-30	27.136.536	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	Absa Group Ltd	South Africa	Financial	Shares	2026-04-30	6.482.838	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	Abu Dhabi Islamic Bank PJSC	United Arab Emirates	Financial	Shares	2026-04-30	4.501.682	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	Acadia Healthcare Co Inc	United States	Consumer, non-cyclical	Corporate bonds	2026-04-30	8.212.886	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	Accenture PLC	United States	Technology	Shares	2026-04-30	24.353.771	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	Acciona SA	Spain	Industrial	Shares	2026-04-30	731.452	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	Accor SA	France	Consumer, cyclical	Corporate bonds	2026-04-30	8.759.860	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	Accor SA	France	Consumer, cyclical	Shares	2026-04-30	1.059.329	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	Accton Technology Corp	Taiwan	Communications	Shares	2026-04-30	10.166.183	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	ACEA SpA	Italy	Utilities	Corporate bonds	2026-04-30	5.061.523	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	Acef Holding SCA	Luxembourg	Financial	Corporate bonds	2026-04-30	23.012.440	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
PME pensioenfonds	Achmea Bank NV	Netherlands	Financial	Corporate bonds	2026-04-30	6.004.818	x1	EUR	https://www.pmepensioen.nl/en/investments/we-do-invest-in
