Shareholder - Name	Issuer - Name	Security - Market Value - Amount	Security - Report Date	Security - Market Value - Currency Code	Data Source URL
Metal and Technology Pension Fund	AAC Technologies Holdings Inc	1.185.349	2026-03-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	ABB India Ltd	1.277.194	2026-03-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	ABB Ltd	42.733.259	2026-03-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Abbott Laboratories	59.990.753	2026-03-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	AbbVie Inc	129.655.903	2026-03-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	ABN AMRO Bank NV	4.882.267	2026-03-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Absa Group Ltd	5.001.243	2026-03-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Abu Dhabi Islamic Bank PJSC	3.275.777	2026-03-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Accenture PLC	41.771.349	2026-03-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Acciona SA	2.133.087	2026-03-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
